,N,i2f,numba,cupy,segyio
175,1750,0.007914156699999434,0.011269819779990939,0.006690397960046539,0.01881338760000517
176,1760,0.007948352385714575,0.011370574239990675,0.006713402320019668,0.017488041520002752
177,1770,0.007978804364287108,0.01137479839992011,0.006640388920059195,0.016151667439999073
178,1780,0.007993136604287817,0.011390975800095477,0.006788662660037517,0.016798095680003372
179,1790,0.008046766254285232,0.011378088360070251,0.006796355319893336,0.01706842331999951
180,1800,0.008104358310001123,0.011476852519990643,0.006785892979969503,0.018230803859999013
181,1810,0.008157306440000086,0.01160870823994628,0.007018838920048438,0.01568354347999957
182,1820,0.00818744581714262,0.01156252000000677,0.006978991539945127,0.017851520439994602
183,1830,0.008231745445714946,0.01171693307995156,0.006875795360101619,0.017496932900000955
184,1840,0.008285488134284995,0.011794234980116017,0.007025080699895625,0.016684911059999193
185,1850,0.008318120988572316,0.011803905259948805,0.007070273199860822,0.01680800242000032
186,1860,0.008393956988571908,0.01190081681997981,0.007023535640037153,0.017664806840000435
187,1870,0.008429588597143396,0.012010283639974658,0.007115351040047244,0.01820843148000222
188,1880,0.008488698850000479,0.01206794356003229,0.007196216359952814,0.017788781379997544
189,1890,0.008509782439999591,0.012171120719940517,0.009316707960024359,0.017294936359999156
190,1900,0.008598403141428597,0.012200354560045526,0.007224913939935504,0.018554271799998787
191,1910,0.008673433380000201,0.01233950972004095,0.007198558859890909,0.01972174660000064
192,1920,0.008706161501429182,0.012336120380059584,0.007336940099994535,0.018256220160001245
193,1930,0.008760352858571423,0.012480625640018842,0.007397783100022934,0.018471056979999505
194,1940,0.008805655682856793,0.012527301500012984,0.007419342639914247,0.018833413679997194
195,1950,0.008831377679999993,0.012722321700057364,0.007355339119967538,0.01951346037999656
196,1960,0.00889076620142727,0.012816811380034779,0.00749066368000058,0.0195088461000023
197,1970,0.008938866051427925,0.012789962720053154,0.007518378460081294,0.01916910886000096
198,1980,0.009002868869998955,0.012866194940070273,0.007585072739966563,0.018995134200001755
199,1990,0.009087843494284502,0.012937783879970082,0.0076604999598930594,0.020969711300001564
200,2000,0.009126225197142698,0.013050662300011026,0.007631511620056699,0.019633991139999123
201,2010,0.009155886085712675,0.01310548061999725,0.007733562580033322,0.020497568720002163
202,2020,0.009216960149999846,0.013222375840123276,0.00777591948004556,0.020935505820000345
203,2030,0.00923538194428537,0.01321834049987956,0.007667416139956913,0.02128568189999896
204,2040,0.009413548832856448,0.013318630420108094,0.00779050642006041,0.020546289660003367
